language,year,author,is_book,in_work,title,publisher,n
English,2013,George Moore,True,,The Singular Life of Albert Nobbs,Zikit,1
English,2013,Niall Ferguson,True,,Civilization: The West and the Rest,Am Oved,2
English,2015,Claire Keegan,True,,Walk the Blue Fields,Zikit,3
English,2017,Jonathan Franzen,True,,Purity,Am Oved,4
English,2018,Jonathan Franzen,True,,The Twenty-Seventh City,Am Oved,5
English,2019,George Orwell,True,,Nineteen Eighty-Four,Am Oved,6
English,2019,A. S. Byatt,True,,Possession {the poems},Zmora-Bitan,7
English,2019,Henry James,True,,The Diary of a Man of Fifty,Nine Lives Press,8
English,2019,James W. Heisig and Erez Volk,True,,Remembering the Kanji I,MeMo,9
English,2021,Paul Beatty,True,,The White Boy Shuffle,Am Oved,10
English,2021,Joshua Cohen,True,,The Netanyahus,Hava Laor,11
English,2021,Ian McEwan,True,,The Cockroach,Am Oved,12
English,2022,Stephen Haggard,True,,I'll Go to Bed at Noon,Afarsemon,13
English,2022,Jack London,False,Sea Tales and a River,The House of Mapuhi,Nine Lives Press,14
English,2022,Ronald Firbank,True,,The Flower Beneath the Foot,Afarsemon,15
English,2023,David Markson,True,,Wittgenstein's Mistress,Hava Laor,16
English,2023,Denton Welch,True,,In Youth is Pleasure,Afarsemon,17
English,2023,Breece D'J Pancake,True,,The Stories of Breece D'J Pancake,Am Oved,18
English,2023,Judea Pearl and Dana Mackenzie,True,,The Book of Why,Zmora-Bitan,19
English,2024,Arnold Bennett,True,,The Grand Babylon Hotel,Afarsemon,20
French,2013,Victor Hugo,True,,Notre-Dame de Paris [The Hunchback of Notre Dame],Penn,21
French,2017,Jean Echenoz,True,,Les grandes blondes [Big Blondes],Locus,22
French,2018,Laurent Binet,True,,La septième fonction du langage [The Seventh Function of Language],Zmora-Bitan,23
French,2021,Ágota Kristóf,True,,L'analphabète [The Illiterate],Nine Lives Press,24
French,2022,Alejandro Jodorowsky,True,,Le théâtre de la guérison [Psychomagic],Prag,25
French,2023,Laurent Binet,True,,Civilizations [Civilisations],Am Oved,26
German,2011,Leonie Swann,True,,Garou,Am Oved,27
German,2013,Hans Keilson,True,,Der Tod des Widersachers [The Death of the Adversary],Keter,28
German,2013,Christopher Kloeble,True,,Meistens alles sehr schnell [Almost Everything Very Fast],Keter,29
German,2016,Robert Walser,True,,Geschwister Tanner [The Tanners],Am Oved,30
German,2017,Benedict Wells,True,,Vom Ende der Einsamkeit [The End of Loneliness],Hakibbutz Hameuchad,31
German,2018,Sibylle Berg,True,,Vielen Dank für das Leben [Thank You For This Life],Am Oved,32
German,2018,Jean Fischer,True,,Das heutige Palästina [Palestine Today],Carmel,33
German,2019,Leonie Swann,True,,Gray,Am Oved,34
German,2021,Hans Robert Grimm,True,,Schlump,Afarsemon,35
German,2021,Benedict Wells,True,,Fast genial [Almost Ingenius],Hakibbutz Hameuchad,36
German,2021,Philipp Schönthaler,False,He Who Laughs,Ihre Mikrowelle [Your Microwave],The Short Story Project,37
German,2024,Werner Herzog,True,,Das Dämmern der Welt [The Twilight World],Babel,38
German,2024,Erika Mann,True,,Zehn Millionen Kinder [School for Barbarians],Afarsemon,39
German,2024,Volker Weidermann,True,,Ostende [Ostend],Afarsemon,40
Portuguese,2016,João Guimarães Rosa,True,,Grande Sertão: Veredas [Devil to Pay in the Backlands],Hakibbutz Hameuchad,41
Portuguese,2019,Bruno Vieira Amaral,True,,As primeiras coisas [The Former Things],Penn,42
Portuguese,2020,Tiago Salazar,True,,A Escada de Istambul [The Camondo Stairs],Zmora-Bitan,43
Portuguese,2022,Fernando Pessoa,True,,A palavra realidade não ter sentido [The Word 'Reality' Is Meaningless],Hava Laor,44
Russian,2009,Anton Chekhov,True,,The Seagull,Beersheba Theater,45
Spanish,2009,Daniel Gutman,True,,El amor judío de Mussolini [Mussolini's Jewish Love],Zmora-Bitan,46
Spanish,2010,Joseph Gelinek,True,,La décima sinfonía [The Tenth Symphony],Zmora-Bitan,47
Spanish,2011,Bernardo Atxaga,True,,El hombre solo [The Lone Man],Zmora-Bitan,48
Spanish,2012,Carlos Ruíz Zafón,True,,El palacio de la medianoche [The Midnight Palace],Zmora-Bitan,49
Spanish,2013,Carlos Ruíz Zafón,True,,Las luces de septiembre [September Lights],Zmora-Bitan,50
Spanish,2016,Felisberto Hernández,False,Weirds,El balcón [The Balcony],Nine Lives Press,51
Spanish,2017,Sergio Bizzio,True,,Diez días en Re [Ten Days in Re],Nine Lives Press,52
Spanish,2017,Mario Levrero,True,,Dejen todo en mis manos [Leave Everything to Me],Nine Lives Press,53
Spanish,2017,Rafael Pinedo,True,,Plop,Nine Lives Press,54
Spanish,2019,Martín Kohan,True,,Cuentas pendientes [Pending Accounts],Nine Lives Press,55
Spanish,2022,Alejandro Jodorowsky,True,,Psicomagia [Psychomagic],Prag,56
Spanish,2023,Gabriel Mamani Magne,True,,El rehén [The Hostage],Locus,57
Spanish,2024,Mario Levrero,True,,El discurso vacío [The Empty Speech],Nine Lives Press,58
Spanish,2024,Aurora Venturini,True,,Las primas [Cousins],Locus,59
